V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,,
1,0.996078431,1,1,0.99902296,0.999267399,0.999389574,0.999633767,0.999603259,0.999633783,,
1,1,0.998043053,1,0.99951148,0.9995116,0.999633744,0.999572728,0.999450667,0.999481193,,
1,1,1,0.999022483,1,1,0.99975583,0.999755844,0.999511704,0.999572747,,
1,1,0.998043053,0.999022483,0.99951148,0.9997558,1,0.999389611,0.999481185,0.999603265,,
1,1,1,0.999022483,0.99951148,0.999023199,0.999633744,0.999511689,0.999450667,0.999542229,,
1,0.996078431,1,1,0.99951148,0.999023199,0.999633744,0.999633767,0.999359111,0.999450675,,
1,1,0.998043053,0.999022483,0.99902296,0.9995116,0.999633744,0.999755844,0.999664296,0.999618524,,
1,1,1,1,0.99951148,0.999023199,0.999877915,0.999389611,0.999542222,0.999588006,,
1,0.992156863,0.998043053,1,0.99951148,0.9995116,0.99975583,0.999389611,0.999206519,0.999511711,,
1,1,1,1,1,0.999267399,0.999633744,0.999511689,0.999572741,0.999542229,,
1,1,1,1,0.998534441,1,0.999267489,0.999633767,0.999603259,0.999465934,,
1,1,1,0.999022483,1,1,0.999267489,0.999572728,0.999481185,0.999404898,,
1,1,1,1,1,0.9997558,0.999267489,0.999328572,0.999664296,0.999481193,,
1,1,1,1,0.99951148,0.9997558,0.999633744,0.999511689,0.999542222,0.999435416,,
1,1,1,0.999022483,0.99951148,0.9995116,0.99975583,0.999755844,0.999450667,0.999618524,,
1,1,1,1,0.99951148,0.9997558,0.999511659,0.999206495,0.999572741,0.999511711,,
1,1,1,1,0.99951148,0.9995116,0.999389574,0.999267533,0.999542222,0.999618524,,
1,1,1,0.999022483,0.99902296,0.9995116,0.999023318,0.999328572,0.999420148,0.999511711,,
1,1,1,0.999022483,0.99951148,1,0.999511659,0.999572728,0.999481185,0.999435416,,
0.992125984,1,1,1,1,1,0.999633744,0.999328572,0.999725333,0.999511711,,
1,1,0.998043053,0.999022483,0.998534441,0.9995116,0.99975583,0.999206495,0.999755852,0.99952697,,
1,1,0.998043053,1,1,0.9995116,0.99975583,0.999511689,0.99938963,0.999511711,,
0.992125984,1,1,0.999022483,0.99951148,1,0.999389574,0.999511689,0.999420148,0.999511711,,
1,1,1,1,0.99951148,1,0.999511659,0.999572728,0.999450667,0.999588006,,
,,,,,,,,,,,
0.999685039,0.999490196,0.99925636,0.999501466,0.999452858,0.999533578,0.99952753,0.999538546,0.999544969,0.999557183,,0.999545346
0.001550759,0.001437908,0.001205381,0.000644155,0.000472363,0.000334893,0.000231936,0.000169192,0.000112454,6.75469E-05,,
,,,,,,,,,,,
0.000314961,0.000509804,0.00074364,0.000498534,0.000547142,0.000466422,0.00047247,0.000461454,0.000455031,0.000442817,,0.000454654
0.090080458,-0.038354468,-0.239746808,-0.068120263,-0.195799368,-0.035141805,-0.07681465,-0.040192566,-0.003354882,0.175239548,,
,,,,,,,,,,,
0.20310096,0.354545455,0.616933569,0.773934222,1.15830771,1.392748786,2.037070112,2.727406133,4.046363651,6.555693154,,
